,Actual,OLS(Log),LASSO(Log),kNN(Log),SVM(Linear Kernel),RandomForest(Log)
0,85,5.339429004011052,5.364690242987194,4.348016309858863,0.960281471393003,12.519350930184558
1,150,49.12102901460909,49.02583378593202,46.42889905186472,32.6498541898999,28.886112062213883
2,74,12.202771378293818,12.12737792420755,1.1558013392489244,15.507718820799354,0.8261420966378239
3,95,16.992482538947925,16.99146573264531,3.4652239714039865,29.59670384776871,9.113601795571526
4,125,14.720391556643435,14.730508868347997,1.164366139633728,3.2258487678592473,7.923306624542164
5,78,25.924317835447454,25.927573521344158,12.307076830041794,39.52312709714343,2.87389360130679
6,235,7.168716153220487,7.251573649612112,3.8066162057612303,37.530270949926006,25.32879162240812
7,150,89.79851405284424,88.75010215779912,85.9452527386694,69.7352724521695,56.14303914847687
8,156,67.91337270329392,67.97596557566008,65.5724444085488,63.91321054944392,54.133686172270814
9,50,27.924050131840076,27.91957179379881,13.198298028569937,35.0458548131174,19.02860167584248
10,129,82.13299201409225,81.49434836710442,71.05706113207906,95.19504033776781,69.95331163820256
11,135,68.64136347904974,68.45150722340392,85.19909416187511,48.4965076635587,102.94938212473141
12,190,27.852553471490438,27.754699117054628,16.62937605048856,4.522404131593362,115.58146579586321
13,206,104.35515589298242,104.3800883624761,99.20930272606975,96.70372287988191,112.30406497680109
14,65,52.537469839123034,52.471847741467826,39.1725614346139,63.07022916517013,13.158718451406543
15,79,46.797236344099005,46.82220971766462,98.81753084966579,64.22606341832375,105.61748538282004
16,110,51.3195176172793,51.2708868140879,39.8053316455275,49.230491772169785,71.9783773774079
17,50,3.0399615412155256,3.0683555176912733,6.825197723523729,0.021298634610623424,5.33729837964389
18,180,81.92156914140878,81.68514343216668,99.05958850219127,29.227973037764855,114.2234619741817
19,239,65.15542344348333,65.26059685869822,29.41897225034046,55.30312047868421,100.69318857293095
20,225,44.336361895908965,44.37873150356009,58.223083670388576,52.43117719059825,57.153673495372686
21,110,48.40101942105605,48.34882780712658,44.95390034552517,48.55010422941035,85.36358348646834
22,90,23.749865468037584,23.52545994221157,6.225298712361322,24.72893346718888,20.175780787817914
23,65,73.53939299740654,73.63156419364495,127.3321772971943,90.21246328164517,71.00024009075162
24,75,75.22019480472565,75.25049870212894,28.768393510124554,83.58979764249631,38.834265127628015
25,225,0.5490742265991742,0.49464209891200994,6.844838419703365,27.707817423142387,18.019214415160064
26,115,21.817093712495875,21.74530281787159,8.81494843633864,24.380672163705952,16.569424967204867
27,649,542.8625760445392,542.9893496528218,513.9149595006164,537.0382175882735,561.8865853866887
28,150,16.340855185546786,16.275743818105013,3.703316924177244,12.282739963894983,11.007546498451603
29,400,259.4945072933767,259.5565645155307,274.72498878181955,256.9847925057282,269.09819409477166
30,120,36.48267646640133,36.504359395786054,35.28445034278384,30.065597924329467,41.16230543236769
31,159,42.378279767860704,42.319069765247775,39.44822600793256,29.252923438023856,22.010859938706318
32,76,29.467029959624938,29.447157841844188,33.41150175346995,40.501703575822674,142.2562529538791
